Description,Type
Thi đấu bóng đá giữa các lớp,Thể thao
Giải chạy marathon cấp trường,Thể thao
Giải bơi lội học sinh,Thể thao
Cuộc thi kéo co nam nữ,Thể thao
Giải cầu lông học sinh,Thể thao
Giải bóng chuyền nam nữ toàn trường,Thể thao
Giải tennis học sinh FPT,Thể thao
Giải bóng rổ giao hữu với trường bạn,Thể thao
Thi đấu điền kinh cấp khu vực,Thể thao
Cuộc thi leo núi thể chất,Thể thao
Giải cờ vua học sinh,Thể thao
Giải cờ tướng giao lưu,Thể thao
Cuộc thi nhảy dây đồng đội,Thể thao
Chạy việt dã chào mừng năm học mới,Thể thao
Thi đấu thể dục nhịp điệu,Thể thao
Hoạt động rèn luyện thân thể buổi sáng,Thể thao
Buổi học yoga cùng huấn luyện viên,Thể thao
Câu lạc bộ bóng bàn tập luyện hàng tuần,Thể thao
Giải thể thao điện tử liên lớp,Thể thao
Ngày hội thể thao học sinh FPT,Thể thao
Cuộc thi vẽ tranh chào mừng 20/11,Nghệ thuật
Tổ chức buổi biểu diễn văn nghệ,Nghệ thuật
Triển lãm tranh nghệ thuật học sinh,Nghệ thuật
Thi hát đơn ca và song ca học sinh,Nghệ thuật
Cuộc thi nhảy hiện đại, Nghệ thuật
Liên hoan phim ngắn học sinh,Nghệ thuật
Biểu diễn kịch nói bằng tiếng Anh,Nghệ thuật
Cuộc thi thiết kế poster tuyên truyền,Nghệ thuật
Ngày hội cosplay và thời trang,Nghệ thuật
Buổi hòa nhạc gây quỹ từ thiện,Nghệ thuật
Tổ chức workshop làm đồ thủ công,Nghệ thuật
Cuộc thi vẽ digital art, Nghệ thuật
Triển lãm nhiếp ảnh học sinh,Nghệ thuật
Tổ chức vẽ tranh tường tại khuôn viên,Nghệ thuật
Buổi hướng dẫn chơi nhạc cụ,Nghệ thuật
Cuộc thi cover bài hát nổi tiếng,Nghệ thuật
Thi múa tập thể toàn khối,Nghệ thuật
Câu lạc bộ sáng tác nhạc hoạt động,Nghệ thuật
Hoạt động làm phim ngắn chủ đề học đường,Nghệ thuật
Giải thiết kế logo CLB, Nghệ thuật
Cuộc thi viết bài cảm nghĩ về thầy cô,Học thuật
Hội thi hùng biện tiếng Anh,Học thuật
Buổi hướng nghiệp cho học sinh lớp 12,Học thuật
Cuộc thi khoa học kỹ thuật cấp trường,Học thuật
Tổ chức buổi workshop kỹ năng học tập,Học thuật
Chương trình đọc sách cùng giáo viên,Học thuật
Hội nghị nghiên cứu khoa học trẻ,Học thuật
Buổi chia sẻ về kỹ năng lãnh đạo,Học thuật
Khóa học lập trình Python cơ bản,Học thuật
Khóa học thiết kế đồ họa cơ bản,Học thuật
Hội thảo về định hướng nghề nghiệp,Học thuật
Cuộc thi sáng tạo robot,Học thuật
Thi thử IELTS miễn phí,Học thuật
Buổi hướng dẫn viết CV xin việc,Học thuật
Workshop kỹ năng làm việc nhóm,Học thuật
Tổ chức câu lạc bộ đọc sách,Học thuật
Cuộc thi toán học trí tuệ,Học thuật
Hội thi giải ô chữ tiếng Anh,Học thuật
Buổi seminar AI và công nghệ mới,Học thuật
Chương trình giao lưu với doanh nghiệp,Học thuật
Thi lập trình Hackathon,Học thuật
Khóa học thuyết trình chuyên nghiệp,Học thuật
Câu lạc bộ khởi nghiệp tổ chức talkshow,Học thuật
Hội thảo khoa học ứng dụng, Học thuật
Cuộc thi sáng chế phần mềm,Học thuật
Buổi hướng dẫn quản lý thời gian,Học thuật
Hội thảo về kỹ năng phỏng vấn,Học thuật
Chương trình kết nối sinh viên,Học thuật
Thi viết luận chủ đề bảo vệ môi trường,Học thuật
Ngày hội tuyển sinh đại học,Học thuật
Buổi nói chuyện chuyên đề về tâm lý học,Học thuật
Workshop thiết kế UX/UI cơ bản,Học thuật
Cuộc thi nghiên cứu xã hội học,Học thuật
Khóa học kỹ năng giao tiếp chuyên sâu,Học thuật
Buổi học kỹ năng phản biện,Học thuật
Thi hùng biện chủ đề công nghệ xanh,Học thuật
Câu lạc bộ kỹ năng sống tổ chức buổi chia sẻ,Học thuật
Workshop hướng nghiệp ngành truyền thông,Học thuật
Cuộc thi sáng tạo poster khoa học,Học thuật
Ngày hội STEM cho học sinh,Học thuật
Workshop học lập trình web,Học thuật
Thi tìm hiểu lịch sử Việt Nam,Học thuật
Buổi tọa đàm về văn hóa đọc,Học thuật
Thi giải toán trên máy tính cầm tay,Học thuật
Khóa học tiếng Nhật cơ bản,Học thuật
Cuộc thi viết truyện ngắn học đường,Học thuật
Thi kể chuyện bằng tiếng Anh,Học thuật
Thi thiết kế website cá nhân,Học thuật
Cuộc thi ý tưởng khởi nghiệp,Học thuật
Thi trắc nghiệm kiến thức tổng hợp,Học thuật
Thi vẽ sơ đồ tư duy sáng tạo,Học thuật
Buổi training kỹ năng lập kế hoạch,Học thuật
Cuộc thi viết thư quốc tế UPU,Học thuật
Thi thuyết trình chủ đề bảo vệ môi trường,Học thuật
Cuộc thi lập trình Game 2D,Học thuật
Workshop về Data Science cơ bản,Học thuật
Thi thiết kế mô hình 3D,Học thuật
Thi chế tạo mô hình năng lượng sạch,Học thuật
Thi viết bài cảm nhận văn học,Học thuật
Thi giải Rubik tốc độ,Học thuật
Ngày hội khởi nghiệp học sinh,Học thuật
Cuộc thi giải pháp sáng tạo xanh,Học thuật
Thi tìm hiểu an toàn mạng,Học thuật
Buổi hướng dẫn tạo hồ sơ du học,Học thuật
